Name I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph rmsre 
STD 1.41165E-04 5.09206E+00 2.98843E+04 4.40747E-04 7.98824E+00 1.31061E+04 9.92735E+01 2.95753E-04 2.79318E-01
IQR 9.23265E-05 8.22767E+00 4.53959E+03 4.05243E-04 5.71293E+00 4.23276E+03 1.18074E+02 1.76734E-04 4.25355E-01
EBLSHADE % % % % % % % % %
MEAN 1.71503E-05 5.83730E+00 9.28327E+03 2.85733E-04 4.98708E+00 2.72951E+03 1.01506E+02 1.30518E-03 2.45268E-01
MEDIAN 5.31441E-06 4.74271E+00 5.98265E+03 2.53282E-04 2.56252E+00 9.64449E+02 6.99971E+01 1.04226E-03 1.05279E-01
STD 3.45535E-05 6.33275E+00 1.42950E+04 1.86435E-04 7.07115E+00 8.27988E+03 9.65207E+01 1.30672E-03 2.72333E-01
IQR 1.48147E-05 2.70705E+00 8.15662E+03 1.00118E-04 2.76648E+00 4.62456E+02 1.21334E+02 9.29293E-05 1.19986E-01
ADELI % % % % % % % % %
MEAN 1.48621E-05 5.61478E+00 2.25242E+04 2.51868E-04 3.07064E+00 9.56061E+02 7.47471E+01 1.02337E-03 1.17985E-01
MEDIAN 1.50011E-05 5.17607E+00 1.00009E+04 2.54009E-04 2.56252E+00 9.76210E+02 6.99971E+01 1.02000E-03 9.95037E-02
STD 4.41223E-06 3.52838E+00 8.99649E+04 4.07513E-05 3.84228E+00 1.37779E+02 5.04158E+01 2.90272E-05 1.27118E-01
IQR 3.00000E-14 3.00000E-09 3.00000E-05 1.00000E-13 1.00000E-09 1.00000E-07 1.05000E-07 0.00000E+00 0.00000E+00
NDE % % % % % % % % %
MEAN 4.13673E-05 1.07901E+01 6.78533E+04 2.04782E-04 9.69368E+00 1.17286E+03 6.22102E+01 3.46622E-03 4.73581E-01
MEDIAN 4.58545E-06 5.31060E+00 3.67429E+03 2.48647E-04 2.74733E+00 8.76418E+02 4.95192E+01 1.06238E-03 1.06973E-01
STD 1.60569E-04 1.02441E+01 2.26567E+05 2.68835E-04 9.99184E+00 3.05491E+03 6.52108E+01 9.22788E-03 4.41768E-01
IQR 1.67557E-05 1.13360E+01 9.91554E+03 2.54257E-04 1.68951E+01 7.37479E+02 9.97529E+01 4.05764E-04 9.07812E-01
MABC % % % % % % % % %
MEAN 9.68675E-05 1.23065E+01 5.44548E+04 2.34224E-04 9.28653E+00 1.45762E+03 1.01078E+02 2.26295E-03 6.93816E-01
MEDIAN 6.95611E-06 8.90569E+00 1.30332E+03 1.19179E-06 5.63072E+00 3.49592E+02 4.22161E+01 1.30592E-03 8.31866E-01
STD 2.07006E-04 9.80658E+00 1.89291E+05 4.77514E-04 8.76429E+00 6.96057E+03 1.36443E+02 2.65048E-03 3.58807E-01
IQR 9.95496E-05 1.38549E+01 5.93767E+03 2.43577E-04 1.36571E+01 4.60622E+02 1.30006E+02 1.01208E-03 7.77650E-01
TLBO % % % % % % % % %
MEAN 1.39576E-05 5.64122E+00 1.11698E+04 2.38568E-04 3.36379E+00 9.32734E+02 7.13598E+01 1.21300E-03 1.52502E-01
MEDIAN 1.50011E-05 5.17607E+00 1.00009E+04 2.54009E-04 2.56252E+00 9.76210E+02 6.99971E+01 1.02000E-03 9.95037E-02
STD 4.61632E-06 2.97800E+00 1.43867E+04 6.03222E-05 4.02652E+00 1.53019E+02 3.71213E+01 8.92368E-04 2.13885E-01
IQR 5.00000E-14 3.00000E-09 5.00000E-05 1.00000E-13 1.00000E-09 3.00000E-07 1.60000E-07 0.00000E+00 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 1.33014E-04 1.11720E+01 9.61439E+04 4.86648E-04 1.13031E+01 2.34334E+03 7.61548E+01 1.97709E-03 7.31274E-01
MEDIAN 1.43191E-05 8.41820E+00 5.69572E+03 1.00515E-05 7.80442E+00 4.17426E+02 5.16922E+00 1.37460E-03 8.05013E-01
STD 2.04914E-04 8.48535E+00 1.99332E+05 1.43244E-03 8.32415E+00 5.50450E+03 1.30764E+02 1.41306E-03 3.09462E-01
IQR 2.26827E-04 1.17431E+01 7.07113E+04 5.69483E-04 1.39522E+01 5.75727E+02 6.56241E+01 8.65017E-04 4.17941E-01
STLBO % % % % % % % % %
MEAN 1.47069E-05 5.66281E+00 9.81358E+03 2.49028E-04 3.10051E+00 9.58697E+02 6.90416E+01 1.02752E-03 1.17304E-01
MEDIAN 1.50011E-05 5.17607E+00 1.00009E+04 2.54009E-04 2.56252E+00 9.76210E+02 6.99971E+01 1.02000E-03 9.95037E-02
STD 2.10056E-06 3.47605E+00 1.33786E+03 3.55683E-05 3.84200E+00 1.25065E+02 6.82386E+00 5.37231E-05 1.27123E-01
IQR 5.00000E-14 4.00000E-09 4.00000E-05 1.00000E-13 1.00000E-09 2.00000E-07 1.65000E-07 0.00000E+00 0.00000E+00
PSO % % % % % % % % %
MEAN 4.28573E-04 1.30514E+01 4.71916E+05 9.60042E-04 1.61376E+01 7.21107E+03 1.66622E+02 3.06821E-02 6.92880E-01
MEDIAN 7.20290E-05 6.97497E+00 1.15796E+04 1.01463E-10 1.89715E+01 5.47520E+02 1.00000E-01 1.19046E-03 9.26404E-01
STD 4.75991E-04 1.18202E+01 5.02611E+05 2.69650E-03 1.43659E+01 1.72395E+04 2.31369E+02 4.12168E-02 4.05119E-01
IQR 1.00000E-03 2.70695E+01 9.99990E+05 2.78904E-04 2.95000E+01 7.48530E+02 4.52731E+02 6.71751E-02 8.68329E-01
IJAYA % % % % % % % % %
MEAN 3.91128E-05 5.61085E+00 4.68665E+04 3.90409E-04 6.29427E+00 2.01458E+03 3.98225E+01 1.13848E-03 3.18674E-01
MEDIAN 4.47984E-06 4.22549E+00 3.88912E+03 3.32444E-04 4.72130E+00 1.13989E+03 1.23042E+01 1.05966E-03 1.88337E-01
STD 8.74753E-05 4.06095E+00 1.49984E+05 2.47406E-04 5.68530E+00 2.38276E+03 7.24754E+01 2.18656E-04 2.86962E-01
IQR 2.04562E-05 3.30507E+00 1.76595E+04 3.35026E-04 4.20486E+00 1.21482E+03 3.93728E+01 1.36508E-04 2.40580E-01
ISCA % % % % % % % % %
MEAN 2.40725E-04 1.14031E+01 1.01573E+05 8.05252E-04 1.28256E+01 2.55507E+03 6.48675E+01 4.68183E-03 8.40888E-01
MEDIAN 4.92732E-05 8.72217E+00 4.41892E+03 2.25511E-04 1.24327E+01 4.97558E+02 6.77838E+00 1.53815E-03 8.39373E-01
STD 3.21900E-04 7.43918E+00 2.01809E+05 1.61867E-03 7.66339E+00 7.86467E+03 1.03697E+02 1.05459E-02 2.42200E-01
IQR 3.80371E-04 1.09995E+01 9.82014E+04 9.42977E-04 1.23849E+01 9.51094E+02 8.07893E+01 1.00389E-03 2.70310E-01
NNA % % % % % % % % %
MEAN 6.69980E-05 1.57615E+01 3.49472E+04 4.15971E-04 1.82391E+01 9.56393E+02 7.28741E+01 6.16946E-03 9.84641E-01
MEDIAN 2.29885E-07 1.51050E+01 3.17890E+02 1.86967E-07 1.90479E+01 3.31800E+02 1.09340E+01 2.45555E-03 1.00726E+00
STD 1.38456E-04 8.78396E+00 1.20768E+05 1.10718E-03 8.39411E+00 3.22574E+03 1.15489E+02 7.97423E-03 1.49736E-01
IQR 6.39691E-05 1.52349E+01 7.94627E+02 7.53367E-05 1.28133E+01 3.08576E+02 8.80296E+01 5.50315E-03 1.01562E-02
CWOA % % % % % % % % %
MEAN 2.85745E-04 1.19415E+01 2.36128E+05 1.70647E-03 1.61498E+01 4.55409E+03 1.67886E+02 1.63148E-02 8.05619E-01
MEDIAN 2.10437E-07 7.25140E+00 3.33189E+03 7.36514E-09 1.63437E+01 4.57514E+02 3.94865E+01 3.86311E-03 1.00102E+00
STD 4.25718E-04 1.04561E+01 4.08767E+05 3.63302E-03 1.07295E+01 1.30381E+04 2.04233E+02 2.52596E-02 3.83244E-01
IQR 6.98652E-04 1.72536E+01 1.38863E+05 3.24691E-04 1.93018E+01 4.59135E+02 3.38072E+02 1.85643E-02 2.98172E-01
WW % % % % % % % % %
MEAN 3.31199E-04 1.20148E+01 1.09691E+05 9.46532E-04 1.88406E+01 1.13513E+04 1.65089E+02 7.69268E-03 8.85889E-01
MEDIAN 7.55199E-05 8.16182E+00 5.92042E+03 1.03281E-04 1.76841E+01 4.54399E+02 3.17310E+01 1.99298E-03 9.38947E-01
STD 4.04170E-04 9.61501E+00 2.70733E+05 1.96931E-03 1.07836E+01 2.05170E+04 2.01020E+02 1.60335E-02 1.95426E-01
IQR 7.43216E-04 1.88668E+01 5.37071E+04 9.34889E-04 2.16190E+01 3.18900E+03 3.04741E+02 5.46747E-03 2.07929E-01
% % % % % T=330 % % % %
true_value 1.50000E-05 5.01914E+00 1.00000E+04 3.94074E-04 2.51515E+00 6.86999E+02 8.00000E+01 1.03000E-03 5.55000E+02
DE % % % % % % % % %
MEAN 1.45306E-05 3.89436E+00 2.47670E+04 5.78041E-04 5.44376E+00 4.27040E+03 6.52316E+01 1.10383E-03 2.22987E-01
MEDIAN 1.73918E-06 3.39358E+00 2.56468E+03 4.54094E-04 4.29295E+00 7.60487E+02 4.38098E+01 1.08083E-03 1.82846E-01
STD 4.59785E-05 2.23582E+00 8.59814E+04 3.89995E-04 4.19410E+00 8.03184E+03 6.86059E+01 7.72389E-05 1.14500E-01
IQR 1.43496E-05 2.83764E+00 3.01045E+03 6.55659E-04 5.61193E+00 2.83648E+03 9.94062E+01 9.05259E-05 1.56753E-01
EBLSHADE % % % % % % % % %
MEAN 1.75078E-05 4.96861E+00 4.17918E+04 3.86868E-04 2.48324E+00 9.25031E+02 8.41984E+01 1.03766E-03 1.07256E-01
MEDIAN 1.49977E-05 5.01897E+00 9.99808E+03 3.94074E-04 2.51510E+00 6.86993E+02 8.00063E+01 1.03000E-03 9.95440E-02
STD 1.49573E-05 1.04815E+00 1.59351E+05 1.19518E-04 1.42077E+00 1.93935E+03 5.14499E+01 2.22986E-05 1.68043E-02
IQR 7.59136E-06 6.29958E-01 5.22619E+03 4.44594E-05 7.97547E-01 1.44843E+02 1.87124E+01 7.79881E-06 5.89057E-03
ADELI % % % % % % % % %
MEAN 1.49977E-05 5.01897E+00 9.99808E+03 3.94074E-04 2.51510E+00 6.86993E+02 8.00063E+01 1.03000E-03 9.95037E-02
MEDIAN 1.49977E-05 5.01897E+00 9.99808E+03 3.94074E-04 2.51510E+00 6.86993E+02 8.00063E+01 1.03000E-03 9.95037E-02
STD 2.58472E-14 1.79433E-09 2.14585E-05 5.01762E-14 1.22266E-09 1.68616E-07 8.63717E-08 8.75992E-19 4.20476E-17
IQR 4.50000E-14 3.00000E-09 3.40000E-05 1.00000E-13 2.00000E-09 2.50000E-07 1.35000E-07 0.00000E+00 0.00000E+00
NDE % % % % % % % % %
MEAN 6.11227E-05 5.76490E+00 1.42779E+04 3.85317E-04 6.79009E+00 5.42006E+02 1.06737E+02 1.35544E-03 4.04987E-01
MEDIAN 1.50078E-05 5.01917E+00 9.99808E+03 3.94074E-04 2.63162E+00 6.86981E+02 8.00063E+01 1.03000E-03 9.95166E-02
STD 1.85101E-04 3.64751E+00 1.70935E+04 4.45975E-04 8.48920E+00 2.64055E+02 7.60261E+01 7.79399E-04 4.47829E-01
IQR 1.10713E-05 8.15665E-01 8.37131E+03 9.34878E-05 1.51087E+00 3.87830E+02 3.92110E+01 2.92655E-04 7.97824E-01
MABC % % % % % % % % %
MEAN 5.39823E-05 5.67309E+00 2.17155E+04 7.60613E-04 5.39419E+00 3.76996E+03 9.74361E+01 1.15927E-03 3.77969E-01
MEDIAN 1.73048E-06 3.38347E+00 1.97362E+03 3.78054E-04 1.49757E+00 4.52821E+02 6.05965E+01 1.12335E-03 1.90273E-01
STD 1.01742E-04 4.61636E+00 5.53297E+04 1.02115E-03 7.17947E+00 1.03683E+04 1.04887E+02 1.42125E-04 3.37441E-01
IQR 6.00519E-05 6.12117E+00 5.11232E+03 6.35138E-04 7.10702E+00 3.85734E+02 1.20090E+02 1.54021E-04 4.74666E-01
TLBO % % % % % % % % %
MEAN 1.62028E-05 5.08992E+00 6.21055E+04 3.95709E-04 2.56797E+00 6.94133E+02 7.65114E+01 1.02926E-03 9.95078E-02
MEDIAN 1.49977E-05 5.01897E+00 9.99808E+03 3.94074E-04 2.51510E+00 6.86993E+02 8.00063E+01 1.03000E-03 9.95037E-02
STD 4.33790E-06 2.53111E-01 2.09274E+05 8.23971E-06 2.29696E-01 3.14381E+01 1.34179E+01 2.58832E-06 1.53698E-05
IQR 3.00000E-14 2.00000E-09 2.45000E-05 1.00000E-13 2.00000E-09 3.00000E-07 1.25000E-07 0.00000E+00 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 9.37257E-05 7.10471E+00 6.70223E+04 5.29326E-04 1.07708E+01 3.56947E+03 4.72598E+01 1.15025E-03 4.60479E-01
MEDIAN 2.04085E-05 6.15577E+00 5.91727E+03 6.32428E-05 6.99296E+00 3.81620E+02 8.22560E+00 1.12897E-03 4.61259E-01
STD 1.76969E-04 5.58795E+00 1.69100E+05 8.20384E-04 9.11626E+00 8.85932E+03 7.57204E+01 1.35393E-04 2.91012E-01
IQR 1.08575E-04 6.47745E+00 3.28656E+04 7.59814E-04 1.40217E+01 5.37263E+02 5.89234E+01 1.67432E-04 5.24704E-01
STLBO % % % % % % % % %
MEAN 1.49977E-05 5.01897E+00 9.99808E+03 3.94074E-04 2.51510E+00 6.86993E+02 8.00063E+01 1.03000E-03 9.95037E-02
MEDIAN 1.49977E-05 5.01897E+00 9.99808E+03 3.94074E-04 2.51510E+00 6.86993E+02 8.00063E+01 1.03000E-03 9.95037E-02
STD 2.26499E-14 1.70052E-09 1.95374E-05 5.40152E-14 1.05867E-09 1.62432E-07 7.70108E-08 8.75992E-19 4.20476E-17
IQR 3.50000E-14 2.00000E-09 2.90000E-05 1.00000E-13 1.50000E-09 3.00000E-07 1.00000E-07 0.00000E+00 0.00000E+00
PSO % % % % % % % % %
MEAN 4.60127E-04 1.70258E+01 5.69538E+05 1.51389E-03 1.51710E+01 1.00330E+04 9.78458E+01 1.05787E-02 6.21580E-01
MEDIAN 3.85429E-05 2.73182E+01 1.00000E+06 5.04845E-04 8.31005E+00 4.55418E+02 1.00000E-01 1.12840E-03 8.35733E-01
STD 4.95539E-04 1.31314E+01 4.99142E+05 2.97363E-03 1.43395E+01 1.99360E+04 1.64276E+02 2.22018E-02 4.47494E-01
IQR 1.00000E-03 2.71327E+01 9.97390E+05 8.84969E-04 2.95000E+01 5.25256E+02 9.00247E+01 1.25410E-04 7.55484E-01
IJAYA % % % % % % % % %
MEAN 1.38133E-05 4.48901E+00 5.04708E+04 5.76225E-04 5.16229E+00 2.29083E+03 3.79302E+01 1.05043E-03 1.07312E-01
MEDIAN 9.12089E-06 4.51095E+00 4.70321E+03 4.99642E-04 4.81956E+00 9.89840E+02 5.08097E+00 1.03456E-03 1.02820E-01
STD 1.32242E-05 1.29283E+00 1.35368E+05 2.06684E-04 2.56985E+00 5.49333E+03 5.92073E+01 3.46902E-05 1.19947E-02
IQR 2.86775E-05 2.64207E+00 4.06013E+04 2.28061E-04 2.56737E+00 8.19351E+02 4.41926E+01 5.33229E-05 8.22927E-03
ISCA % % % % % % % % %
MEAN 2.26209E-04 1.14464E+01 5.94864E+04 1.38330E-03 1.33611E+01 1.69970E+03 5.82906E+01 1.22280E-03 6.39507E-01
MEDIAN 1.13127E-04 9.35167E+00 8.68900E+03 3.61387E-04 1.35306E+01 2.64162E+02 5.04152E+00 1.20421E-03 6.14736E-01
STD 2.43224E-04 6.56184E+00 1.36856E+05 2.32389E-03 8.45890E+00 4.50884E+03 8.83865E+01 1.23423E-04 2.76647E-01
IQR 3.68853E-04 1.25112E+01 5.22940E+04 1.40752E-03 1.30999E+01 3.31939E+02 1.03615E+02 1.85733E-04 3.45443E-01
NNA % % % % % % % % %
MEAN 1.63359E-04 1.20815E+01 3.09979E+04 5.55116E-04 1.65569E+01 1.52684E+03 3.60443E+01 2.93885E-03 9.88136E-01
MEDIAN 1.04304E-05 1.00021E+01 3.04719E+03 6.77431E-07 1.81328E+01 2.81254E+02 1.58449E+00 1.51113E-03 1.05385E+00
STD 2.62048E-04 9.07136E+00 7.59872E+04 1.53947E-03 8.81570E+00 7.09037E+03 7.03684E+01 4.21691E-03 3.19298E-01
IQR 1.97503E-04 1.71852E+01 1.50456E+04 9.03172E-05 1.64293E+01 3.01169E+02 4.01732E+01 1.19544E-03 5.90619E-01
CWOA % % % % % % % % %
MEAN 2.46426E-04 1.19620E+01 1.57158E+05 2.52922E-03 1.67977E+01 8.38181E+03 1.17385E+02 1.08732E-02 8.99587E-01
MEDIAN 8.04574E-07 5.93122E+00 4.02858E+02 6.82975E-08 1.67288E+01 3.87396E+02 1.61285E+01 1.81969E-03 1.18886E+00
STD 4.07629E-04 1.08393E+01 3.62591E+05 4.02230E-03 1.02405E+01 1.73997E+04 1.63622E+02 2.08707E-02 5.50075E-01
IQR 2.59201E-04 1.96042E+01 3.76037E+03 3.37860E-03 1.82677E+01 5.99772E+02 2.25262E+02 8.06087E-03 1.12231E+00
WW % % % % % % % % %
MEAN 3.95696E-04 1.52501E+01 1.17694E+05 1.68950E-03 1.58443E+01 9.56900E+03 5.49070E+01 2.52344E-03 9.20130E-01
MEDIAN 2.68794E-04 1.44738E+01 5.51686E+03 2.00828E-04 1.33873E+01 2.59880E+02 9.46265E+00 1.28744E-03 9.28054E-01
STD 3.66344E-04 8.90406E+00 2.97119E+05 2.99688E-03 1.16357E+01 1.91461E+04 9.96093E+01 5.61169E-03 2.45900E-01
IQR 7.20546E-04 1.60080E+01 1.84651E+04 1.61225E-03 2.55228E+01 8.84961E+02 5.02754E+01 3.15797E-04 2.74302E-01
% % % % % T=340 % % % %
true_value 1.50000E-05 4.87151E+00 1.00000E+04 5.95785E-04 2.47059E+00 4.93568E+02 9.00000E+01 1.04000E-03 5.55000E+02
DE % % % % % % % % %
MEAN 8.79836E-06 3.65610E+00 4.32122E+04 8.49896E-04 4.92352E+00 3.60831E+03 1.00566E+02 1.08551E-03 1.35532E-01
MEDIAN 2.84057E-06 3.55733E+00 3.59710E+03 7.54123E-04 3.33097E+00 5.94661E+02 9.01178E+01 1.06011E-03 1.17021E-01
STD 1.06895E-05 1.42220E+00 1.43409E+05 4.03068E-04 4.08878E+00 7.72464E+03 8.11411E+01 5.68810E-05 3.75107E-02
IQR 1.56516E-05 2.59431E+00 8.96510E+03 5.98051E-04 6.34835E+00 7.61002E+02 1.52281E+02 8.46358E-05 4.51257E-02
EBLSHADE % % % % % % % % %
MEAN 1.56192E-05 4.83515E+00 3.91746E+04 6.65425E-04 3.09205E+00 1.15850E+03 8.34612E+01 1.04287E-03 1.01161E-01
MEDIAN 1.49976E-05 4.87135E+00 9.99775E+03 5.95786E-04 2.47050E+00 4.93562E+02 9.00067E+01 1.04000E-03 9.95037E-02
STD 6.60123E-06 5.81929E-01 1.46878E+05 2.33913E-04 2.04792E+00 2.77162E+03 4.25142E+01 1.41186E-05 4.90941E-03
IQR 3.00000E-14 2.00000E-09 3.10000E-05 3.05100E-10 3.67700E-06 1.03980E-03 1.81758E-03 0.00000E+00 3.28653E-05
ADELI % % % % % % % % %
MEAN 1.49976E-05 4.87135E+00 9.99775E+03 5.95786E-04 2.47050E+00 4.93562E+02 9.00067E+01 1.04000E-03 9.95037E-02
MEDIAN 1.49976E-05 4.87135E+00 9.99775E+03 5.95786E-04 2.47050E+00 4.93562E+02 9.00067E+01 1.04000E-03 9.95037E-02
STD 1.75790E-14 1.20033E-09 1.44102E-05 1.58770E-13 1.88638E-09 2.36046E-07 7.01952E-08 4.37996E-19 2.80318E-17
IQR 3.00000E-14 2.00000E-09 2.00000E-05 2.00000E-13 2.50000E-09 3.50000E-07 9.50000E-08 0.00000E+00 0.00000E+00
NDE % % % % % % % % %
MEAN 5.19566E-05 6.32741E+00 1.01777E+05 7.49865E-04 6.14737E+00 3.19477E+03 9.81832E+01 1.44226E-03 4.34404E-01
MEDIAN 1.49976E-05 4.87135E+00 9.44930E+03 5.94386E-04 2.49628E+00 4.86725E+02 9.19468E+01 1.04114E-03 9.95162E-02
STD 1.13956E-04 3.87363E+00 2.62762E+05 1.08270E-03 6.81281E+00 1.09933E+04 6.38884E+01 1.68412E-03 5.32427E-01
IQR 1.62475E-05 1.06716E+00 5.52351E+03 5.72239E-05 3.63839E+00 2.55027E+02 3.17248E+01 1.34534E-04 7.99543E-01
MABC % % % % % % % % %
MEAN 3.05581E-05 4.98028E+00 1.49162E+04 8.47970E-04 5.32265E+00 1.73528E+03 7.46422E+01 1.13665E-03 3.43734E-01
MEDIAN 8.92925E-06 4.37730E+00 2.39072E+03 6.82367E-04 2.24432E+00 4.00197E+02 4.31606E+01 1.10525E-03 1.92311E-01
STD 7.52263E-05 2.99108E+00 5.44402E+04 8.74395E-04 6.76070E+00 4.91942E+03 7.94419E+01 1.22484E-04 2.88013E-01
IQR 2.23641E-05 2.59100E+00 2.86691E+03 7.54359E-04 5.55762E+00 9.20921E+02 1.24436E+02 1.28490E-04 3.67714E-01
TLBO % % % % % % % % %
MEAN 1.53838E-05 4.89280E+00 1.25704E+04 6.15385E-04 2.64219E+00 6.40423E+02 8.70706E+01 1.03980E-03 9.95045E-02
MEDIAN 1.49976E-05 4.87135E+00 9.99775E+03 5.95786E-04 2.47050E+00 4.93562E+02 9.00067E+01 1.04000E-03 9.95037E-02
STD 2.68729E-06 1.57238E-01 1.84404E+04 1.16517E-04 9.77835E-01 9.97852E+02 1.74971E+01 1.61384E-06 4.14976E-06
IQR 3.50000E-14 2.50000E-09 2.85000E-05 2.50000E-13 3.00000E-09 4.00000E-07 1.35000E-07 0.00000E+00 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 7.05291E-05 6.29116E+00 6.24839E+04 1.21424E-03 1.05849E+01 1.63539E+03 5.38159E+01 1.14769E-03 4.18351E-01
MEDIAN 1.10034E-05 4.66909E+00 5.15583E+03 1.66807E-04 1.03613E+01 2.55793E+02 1.07162E+01 1.11812E-03 3.34591E-01
STD 1.20510E-04 4.33286E+00 1.66931E+05 2.15218E-03 7.87951E+00 4.68805E+03 8.00930E+01 1.49792E-04 2.63800E-01
IQR 9.38915E-05 6.34208E+00 1.31582E+04 1.05895E-03 1.27241E+01 2.87702E+02 7.69059E+01 1.25037E-04 4.79425E-01
STLBO % % % % % % % % %
MEAN 1.49976E-05 4.87135E+00 9.99775E+03 5.95786E-04 2.47050E+00 4.93562E+02 9.00067E+01 1.04000E-03 9.95037E-02
MEDIAN 1.49976E-05 4.87135E+00 9.99775E+03 5.95786E-04 2.47050E+00 4.93562E+02 9.00067E+01 1.04000E-03 9.95037E-02
STD 2.36013E-14 1.58745E-09 1.95492E-05 1.84008E-13 2.30617E-09 2.92226E-07 9.85905E-08 4.37996E-19 2.80318E-17
IQR 3.00000E-14 2.00000E-09 2.80000E-05 2.00000E-13 3.00000E-09 3.50000E-07 1.60000E-07 0.00000E+00 0.00000E+00
PSO % % % % % % % % %
MEAN 2.21654E-04 7.60539E+00 6.08521E+05 2.63718E-03 1.83391E+01 8.99448E+03 1.20009E+02 8.55564E-03 3.69785E-01
MEDIAN 4.95093E-07 2.72447E+00 1.00000E+06 1.00000E-10 3.00000E+01 2.84474E+02 5.91392E+00 1.06647E-03 1.37158E-01
STD 4.12710E-04 1.00243E+01 4.92238E+05 4.19354E-03 1.41426E+01 1.91723E+04 1.47369E+02 2.37014E-02 4.72023E-01
IQR 5.71259E-05 3.98140E+00 9.98330E+05 3.14477E-03 2.95000E+01 4.15526E+02 2.85662E+02 1.83505E-04 7.52508E-02
IJAYA % % % % % % % % %
MEAN 1.54049E-05 4.63641E+00 5.41300E+04 8.56276E-04 5.61286E+00 1.57011E+03 3.83416E+01 1.05076E-03 1.06501E-01
MEDIAN 1.25971E-05 4.70015E+00 6.57438E+03 7.77851E-04 5.26519E+00 8.15414E+02 9.49987E+00 1.04056E-03 1.01111E-01
STD 1.20534E-05 1.01749E+00 1.20224E+05 2.73197E-04 2.51098E+00 2.81445E+03 4.94703E+01 2.19246E-05 1.32839E-02
IQR 2.32307E-05 1.92994E+00 2.01415E+04 2.51877E-04 3.19813E+00 4.57840E+02 6.33788E+01 3.31586E-05 7.69143E-03
ISCA % % % % % % % % %
MEAN 2.55178E-04 1.16722E+01 6.74738E+04 1.70713E-03 1.36118E+01 1.13345E+03 2.73746E+01 1.19290E-03 6.60133E-01
MEDIAN 2.14839E-04 1.18740E+01 1.28698E+04 2.07337E-04 1.32083E+01 1.60565E+02 3.69136E+00 1.15263E-03 6.57795E-01
STD 2.28558E-04 5.81717E+00 1.81817E+05 2.46664E-03 8.85857E+00 3.92061E+03 5.34016E+01 1.62653E-04 2.62856E-01
IQR 3.65748E-04 9.65155E+00 3.88236E+04 2.85296E-03 1.51416E+01 2.29861E+02 2.17020E+01 1.37760E-04 3.71118E-01
NNA % % % % % % % % %
MEAN 1.96823E-04 1.25891E+01 3.25799E+04 1.24805E-03 1.50060E+01 8.16217E+02 2.41474E+01 1.56126E-03 1.02250E+00
MEDIAN 2.77596E-05 1.03837E+01 1.53188E+03 1.28826E-06 1.46694E+01 1.03892E+02 1.15011E+00 1.25925E-03 1.00020E+00
STD 2.85104E-04 9.20725E+00 1.34996E+05 2.47821E-03 9.64705E+00 2.69099E+03 5.58393E+01 9.32773E-04 4.15987E-01
IQR 3.10832E-04 1.69993E+01 7.93101E+03 5.60656E-04 1.77378E+01 2.84312E+02 1.43782E+01 5.05524E-04 8.02560E-01
CWOA % % % % % % % % %
MEAN 2.35026E-04 9.96170E+00 1.19886E+05 2.12417E-03 1.51872E+01 4.68752E+03 1.09268E+02 1.63127E-02 9.94650E-01
MEDIAN 2.98697E-07 5.01116E+00 1.19836E+03 1.77957E-07 1.55980E+01 2.90983E+02 1.69384E+01 1.44070E-03 1.10043E+00
STD 3.84494E-04 9.69983E+00 3.22577E+05 3.65337E-03 9.89640E+00 1.34771E+04 1.47383E+02 2.88413E-02 6.49101E-01
IQR 2.84441E-04 1.39057E+01 5.93316E+03 3.66564E-03 1.72990E+01 3.30445E+02 2.38480E+02 9.50611E-03 1.40045E+00
WW % % % % % % % % %
MEAN 2.48175E-04 1.06628E+01 1.96112E+05 1.58121E-03 1.20454E+01 3.56004E+03 3.25340E+01 2.31363E-03 7.41655E-01
MEDIAN 4.99052E-05 7.05898E+00 4.60904E+03 1.29376E-04 6.28470E+00 2.23731E+02 6.46792E+00 1.18070E-03 8.16433E-01
STD 3.37471E-04 8.26648E+00 3.79195E+05 2.87210E-03 1.11226E+01 1.17953E+04 5.64323E+01 7.62385E-03 4.03780E-01
IQR 4.75198E-04 1.34104E+01 6.21178E+04 1.35656E-03 1.99688E+01 2.49973E+02 2.49406E+01 2.18951E-04 6.19593E-01
% % % % % T=350 % % % %
true_value 1.50000E-05 4.73233E+00 1.00000E+04 8.79718E-04 2.42857E+00 3.61363E+02 1.00000E+02 1.05000E-03 5.55000E+02
DE % % % % % % % % %
MEAN 8.69397E-06 3.43654E+00 2.58081E+04 1.14107E-03 6.15066E+00 1.49222E+03 9.12705E+01 1.09968E-03 1.22682E-01
MEDIAN 5.41709E-07 2.70681E+00 2.17421E+03 9.53584E-04 4.58884E+00 3.40978E+02 8.89378E+01 1.10859E-03 1.17118E-01
STD 1.31687E-05 1.42887E+00 9.42210E+04 7.70324E-04 5.19901E+00 2.84500E+03 7.64629E+01 4.34113E-05 2.12294E-02
IQR 1.53139E-05 2.52440E+00 3.81052E+03 8.76618E-04 6.50400E+00 5.64781E+02 1.40120E+02 8.01679E-05 2.92000E-02
EBLSHADE % % % % % % % % %
