  i	       x(um)	        y	      Ec(eV)	      Fn(eV)	      Fp(eV)	      Ev(eV)	     n(/cm3)	     p(/cm3)	rho(defect) (/cm3)	net doping (/cm3)	   rho(/cm3)	     E(V/cm)	  jn(mA/cm2)	  jp(mA/cm2)	  jn_tunnel(mA/cm2)	  jp_tunnel(mA/cm2)	jtot(mA/cm2)	 generation(#/cm3.s)	  recombination(#/cm3.s)	cumulative generation (mA/cm2)	cumulative recombination L to R (mA/cm2)	cumulative recombination R to L (mA/cm2)
 129	       7.876841	     0.00000000	     0.93024966	     0.45237783	    -0.00000087	    -0.16774434	   2.96048252e+12	   1.00002739e+17	   0.00000000e+00	  -1.00000000e+17	  -2.21273234e+11	   7.00420091e-02	  -1.93923431e+00	  -2.67409588e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.79205680e+19	    1.06794210e+16	   2.94931964e+01	    1.57199892e+00	    2.74514285e+00
 130	       7.912462	     0.00000000	     0.93024970	     0.45235179	    -0.00000089	    -0.16774430	   2.95785407e+12	   1.00002934e+17	   0.00000000e+00	  -1.00000000e+17	  -2.41681846e+10	   3.57544742e-03	  -1.96117779e+00	  -2.67190153e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.80937088e+19	    1.06699799e+16	   2.94715075e+01	    1.57200501e+00	    2.74513676e+00
 131	       7.957240	     0.00000000	     0.93024968	     0.45231861	    -0.00000092	    -0.16774432	   2.95451511e+12	   1.00002953e+17	   0.00000000e+00	  -1.00000000e+17	  -1.79506940e+09	  -5.26282202e-03	  -1.98887821e+00	  -2.66913149e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.83132194e+19	    1.06579380e+16	   2.94441027e+01	    1.57201266e+00	    2.74512911e+00
 132	       8.013098	     0.00000000	     0.93024964	     0.45227653	    -0.00000095	    -0.16774436	   2.95028546e+12	   1.00002950e+17	   0.00000000e+00	  -1.00000000e+17	  -8.61332203e+07	  -6.06168833e-03	  -2.02362416e+00	  -2.66565690e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.85900000e+19	    1.06426782e+16	   2.94096942e+01	    1.57202219e+00	    2.74511958e+00
 133	       8.082204	     0.00000000	     0.93024960	     0.45222337	    -0.00000099	    -0.16774440	   2.94495189e+12	   1.00002945e+17	   0.00000000e+00	  -1.00000000e+17	   1.42668412e+06	  -6.10619837e-03	  -2.06691616e+00	  -2.66132769e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.89370280e+19	    1.06234352e+16	   2.93667804e+01	    1.57203397e+00	    2.74510781e+00
 134	       8.166939	     0.00000000	     0.93024955	     0.45215653	    -0.00000104	    -0.16774445	   2.93825829e+12	   1.00002938e+17	   0.00000000e+00	  -1.00000000e+17	   4.49423029e+06	  -6.10239501e-03	  -2.12048076e+00	  -2.65597124e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.93696505e+19	    1.05992853e+16	   2.93136312e+01	    1.57204837e+00	    2.74509341e+00
 135	       8.269860	     0.00000000	     0.93024949	     0.45207283	    -0.00000110	    -0.16774451	   2.92989795e+12	   1.00002930e+17	   0.00000000e+00	  -1.00000000e+17	   4.62732394e+06	  -6.09527158e-03	  -2.18628102e+00	  -2.64939121e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.99059180e+19	    1.05691221e+16	   2.92482769e+01	    1.57206582e+00	    2.74507596e+00
 136	       8.393621	     0.00000000	     0.93024941	     0.45196845	    -0.00000118	    -0.16774459	   2.91950565e+12	   1.00002920e+17	   0.00000000e+00	  -1.00000000e+17	   4.70527089e+06	  -6.08650764e-03	  -2.26652304e+00	  -2.64136701e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.05669707e+19	    1.05316277e+16	   2.91685016e+01	    1.57208674e+00	    2.74505504e+00
 137	       8.540887	     0.00000000	     0.93024932	     0.45183882	    -0.00000126	    -0.16774468	   2.90664946e+12	   1.00002907e+17	   0.00000000e+00	  -1.00000000e+17	   4.79952529e+06	  -6.07588730e-03	  -2.36365792e+00	  -2.63165352e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.13774980e+19	    1.04852440e+16	   2.90718403e+01	    1.57211153e+00	    2.74503025e+00
 138	       8.714203	     0.00000000	     0.93024922	     0.45167845	    -0.00000136	    -0.16774478	   2.89082287e+12	   1.00002891e+17	   0.00000000e+00	  -1.00000000e+17	   4.91438211e+06	  -6.06311371e-03	  -2.48037915e+00	  -2.61998140e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.23662954e+19	    1.04281434e+16	   2.89555817e+01	    1.57214056e+00	    2.74500121e+00
 139	       8.915861	     0.00000000	     0.93024909	     0.45148083	    -0.00000148	    -0.16774491	   2.87143816e+12	   1.00002871e+17	   0.00000000e+00	  -1.00000000e+17	   5.05381755e+06	  -6.04786268e-03	  -2.61961527e+00	  -2.60605778e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.35669458e+19	    1.03582058e+16	   2.88167755e+01	    1.57217414e+00	    2.74496764e+00
 140	       9.147736	     0.00000000	     0.93024895	     0.45123828	    -0.00000161	    -0.16774505	   2.84782262e+12	   1.00002848e+17	   0.00000000e+00	  -1.00000000e+17	   5.22234469e+06	  -6.02978503e-03	  -2.78451781e+00	  -2.58956753e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.50186577e+19	    1.02730039e+16	   2.86522439e+01	    1.57221246e+00	    2.74492932e+00
 141	       9.411124	     0.00000000	     0.93024879	     0.45094181	    -0.00000176	    -0.16774521	   2.81921934e+12	   1.00002819e+17	   0.00000000e+00	  -1.00000000e+17	   5.42524834e+06	  -6.00850855e-03	  -2.97844403e+00	  -2.57017491e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.67672891e+19	    1.01698073e+16	   2.84585999e+01	    1.57225559e+00	    2.74488619e+00
 142	       9.706583	     0.00000000	     0.93024862	     0.45058100	    -0.00000193	    -0.16774538	   2.78479479e+12	   1.00002785e+17	   0.00000000e+00	  -1.00000000e+17	   5.66870252e+06	  -5.98364054e-03	  -3.20493356e+00	  -2.54752595e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.88665876e+19	    1.00456087e+16	   2.82322701e+01	    1.57230343e+00	    2.74483835e+00
 143	      10.033796	     0.00000000	     0.93024842	     0.45014394	    -0.00000211	    -0.16774558	   2.74365545e+12	   1.00002744e+17	   0.00000000e+00	  -1.00000000e+17	   5.96005565e+06	  -5.95477131e-03	  -3.46767737e+00	  -2.52125157e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   5.13796625e+19	    9.89718481e+15	   2.79695267e+01	    1.57235570e+00	    2.74478608e+00
 144	      10.391467	     0.00000000	     0.93024821	     0.44961715	    -0.00000231	    -0.16774579	   2.69487545e+12	   1.00002695e+17	   0.00000000e+00	  -1.00000000e+17	   6.30801511e+06	  -5.92147880e-03	  -3.77047606e+00	  -2.49097170e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   5.43806948e+19	    9.72119553e+15	   2.76665297e+01	    1.57241190e+00	    2.74472987e+00
 145	      10.777260	     0.00000000	     0.93024798	     0.44898563	    -0.00000252	    -0.16774602	   2.63753651e+12	   1.00002638e+17	   0.00000000e+00	  -1.00000000e+17	   6.72258012e+06	  -5.88333483e-03	  -4.11718361e+00	  -2.45630095e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   5.79568584e+19	    9.51432828e+15	   2.73193837e+01	    1.57247135e+00	    2.74467043e+00
 146	      11.187807	     0.00000000	     0.93024774	     0.44823290	    -0.00000274	    -0.16774626	   2.57078028e+12	   1.00002571e+17	   0.00000000e+00	  -1.00000000e+17	   7.21557861e+06	  -5.83991364e-03	  -4.51163102e+00	  -2.41685621e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.22103872e+19	    9.27348698e+15	   2.69242156e+01	    1.57253313e+00	    2.74460865e+00
 147	      11.618771	     0.00000000	     0.93024749	     0.44734110	    -0.00000297	    -0.16774651	   2.49387185e+12	   1.00002494e+17	   0.00000000e+00	  -1.00000000e+17	   7.80095246e+06	  -5.79080336e-03	  -4.95752321e+00	  -2.37226699e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.72606617e+19	    8.99602096e+15	   2.64772792e+01	    1.57259620e+00	    2.74454558e+00
 148	      12.064975	     0.00000000	     0.93024723	     0.44629122	    -0.00000320	    -0.16774677	   2.40627106e+12	   1.00002406e+17	   0.00000000e+00	  -1.00000000e+17	   8.49475745e+06	  -5.73562136e-03	  -5.45830182e+00	  -2.32218913e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.32461068e+19	    8.67998243e+15	   2.59750949e+01	    1.57265937e+00	    2.74448241e+00
 149	      12.520596	     0.00000000	     0.93024697	     0.44506328	    -0.00000343	    -0.16774703	   2.30770672e+12	   1.00002308e+17	   0.00000000e+00	  -1.00000000e+17	   9.31534786e+06	  -5.67403415e-03	  -6.01696658e+00	  -2.26632265e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.03255903e+19	    8.32439405e+15	   2.54146305e+01	    1.57272143e+00	    2.74442035e+00
 150	      12.979404	     0.00000000	     0.93024671	     0.44363663	    -0.00000366	    -0.16774729	   2.19824689e+12	   1.00002198e+17	   0.00000000e+00	  -1.00000000e+17	   1.02835945e+07	  -5.60578260e-03	  -6.63585023e+00	  -2.20443429e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   8.86788980e+19	    7.92950262e+15	   2.47935310e+01	    1.57278116e+00	    2.74436061e+00
 151	      13.435025	     0.00000000	     0.93024646	     0.44199017	    -0.00000388	    -0.16774754	   2.07835754e+12	   1.00002078e+17	   0.00000000e+00	  -1.00000000e+17	   1.14226333e+07	  -5.53071239e-03	  -7.31634601e+00	  -2.13638471e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   9.85057555e+19	    7.49699055e+15	   2.41103951e+01	    1.57283746e+00	    2.74430431e+00
 152	      13.881229	     0.00000000	     0.93024622	     0.44010275	    -0.00000409	    -0.16774778	   1.94894132e+12	   1.00001949e+17	   0.00000000e+00	  -1.00000000e+17	   1.27575125e+07	  -5.44880901e-03	  -8.05859468e+00	  -2.06215984e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.10022808e+20	    7.03011559e+15	   2.33650945e+01	    1.57288938e+00	    2.74425239e+00
 153	      14.312193	     0.00000000	     0.93024598	     0.43795343	    -0.00000428	    -0.16774802	   1.81134884e+12	   1.00001811e+17	   0.00000000e+00	  -1.00000000e+17	   1.43146059e+07	  -5.36023535e-03	  -8.86114860e+00	  -1.98190445e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.23457991e+20	    6.53375143e+15	   2.25591147e+01	    1.57293621e+00	    2.74420557e+00
 154	      14.722740	     0.00000000	     0.93024576	     0.43552181	    -0.00000445	    -0.16774824	   1.66735664e+12	   1.00001667e+17	   0.00000000e+00	  -1.00000000e+17	   1.61205893e+07	  -5.26536821e-03	  -9.72064430e+00	  -1.89595488e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.39041891e+20	    6.01430812e+15	   2.16958880e+01	    1.57297747e+00	    2.74416431e+00
 155	      15.108533	     0.00000000	     0.93024556	     0.43278835	    -0.00000461	    -0.16774844	   1.51910893e+12	   1.00001519e+17	   0.00000000e+00	  -1.00000000e+17	   1.82010648e+07	  -5.16482883e-03	  -1.06315281e+01	  -1.80486651e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.56995939e+20	    5.47952164e+15	   2.07810705e+01	    1.57301299e+00	    2.74412879e+00
 156	      15.466204	     0.00000000	     0.93024538	     0.42973466	    -0.00000475	    -0.16774862	   1.36902396e+12	   1.00001369e+17	   0.00000000e+00	  -1.00000000e+17	   2.05787989e+07	  -5.05950129e-03	  -1.15858884e+01	  -1.70943047e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.77517560e+20	    4.93811603e+15	   1.98227095e+01	    1.57304284e+00	    2.74409894e+00
 157	      15.793417	     0.00000000	     0.93024522	     0.42634368	    -0.00000487	    -0.16774878	   1.21967049e+12	   1.00001220e+17	   0.00000000e+00	  -1.00000000e+17	   2.32719615e+07	  -4.95053270e-03	  -1.25734494e+01	  -1.61067437e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.00762396e+20	    4.39935779e+15	   1.88312455e+01	    1.57306731e+00	    2.74407447e+00
 158	      16.088876	     0.00000000	     0.93024507	     0.42259980	    -0.00000497	    -0.16774893	   1.07362447e+12	   1.00001074e+17	   0.00000000e+00	  -1.00000000e+17	   2.62912900e+07	  -4.83931093e-03	  -1.35817637e+01	  -1.50984294e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.26823406e+20	    3.87253868e+15	   1.78193090e+01	    1.57308689e+00	    2.74405489e+00
 159	      16.352264	     0.00000000	     0.93024495	     0.41848880	    -0.00000506	    -0.16774905	   9.33319630e+11	   1.00000933e+17	   0.00000000e+00	  -1.00000000e+17	   2.96374554e+07	  -4.72741831e-03	  -1.45966202e+01	  -1.40835729e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.55706221e+20	    3.36643693e+15	   1.68012994e+01	    1.57310216e+00	    2.74403962e+00
 160	      16.584139	     0.00000000	     0.93024484	     0.41399758	    -0.00000513	    -0.16774916	   8.00907770e+11	   1.00000801e+17	   0.00000000e+00	  -1.00000000e+17	   3.32978580e+07	  -4.61656333e-03	  -1.56026485e+01	  -1.30775446e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   2.87300857e+20	    2.88881335e+15	   1.57927631e+01	    1.57311378e+00	    2.74402800e+00
 161	      16.785797	     0.00000000	     0.93024475	     0.40911350	    -0.00000518	    -0.16774925	   6.78143965e+11	   1.00000678e+17	   0.00000000e+00	  -1.00000000e+17	   3.72431546e+07	  -4.50849530e-03	  -1.65840784e+01	  -1.20961147e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.21352610e+20	    2.44599734e+15	   1.48096172e+01	    1.57312239e+00	    2.74401938e+00
 162	      16.959113	     0.00000000	     0.93024467	     0.40382334	    -0.00000523	    -0.16774933	   5.66308498e+11	   1.00000566e+17	   0.00000000e+00	  -1.00000000e+17	   4.14244059e+07	  -4.40490837e-03	  -1.75255977e+01	  -1.11545954e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.57439348e+20	    2.04260550e+15	   1.38672742e+01	    1.57312862e+00	    2.74401315e+00
 163	      17.106379	     0.00000000	     0.93024460	     0.39811159	    -0.00000526	    -0.16774940	   4.66172140e+11	   1.00000466e+17	   0.00000000e+00	  -1.00000000e+17	   4.57577595e+07	  -4.30735918e-03	  -1.84132409e+01	  -1.02669522e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.94965378e+20	    1.68141656e+15	   1.29797412e+01	    1.57313302e+00	    2.74400876e+00
 164	      17.230140	     0.00000000	     0.93024455	     0.39195769	    -0.00000529	    -0.16774945	   3.78005129e+11	   1.00000378e+17	   0.00000000e+00	  -1.00000000e+17	   4.88406400e+07	  -4.21840114e-03	  -1.92352267e+01	  -9.44496638e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.33180592e+20	    1.36340389e+15	   1.21587738e+01	    1.57313604e+00	    2.74400574e+00
 165	      17.333061	     0.00000000	     0.93024451	     0.38533187	    -0.00000531	    -0.16774949	   3.01624505e+11	   1.00000302e+17	   0.00000000e+00	  -1.00000000e+17	  -3.01383559e+07	  -4.20380721e-03	  -1.99826497e+01	  -8.69754336e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   4.71227433e+20	    1.08790637e+15	   1.14131861e+01	    1.57313806e+00	    2.74400372e+00
 166	      17.417796	     0.00000000	     0.93024447	     0.37818839	    -0.00000533	    -0.16774953	   2.36470188e+11	   1.00000233e+17	   0.00000000e+00	  -1.00000000e+17	  -3.58480623e+09	  -6.53253698e-03	  -2.06499302e+01	  -8.03026295e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   5.08210669e+20	    8.52902757e+14	   1.07484108e+01	    1.57313937e+00	    2.74400240e+00
 167	      17.486902	     0.00000000	     0.93024441	     0.37045443	    -0.00000534	    -0.16774959	   1.81698023e+11	   1.00000075e+17	   0.00000000e+00	  -1.00000000e+17	  -1.06809848e+11	  -6.45295506e-02	  -2.12349546e+01	  -7.44523850e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   5.43279195e+20	    6.55346265e+14	   1.01663760e+01	    1.57314021e+00	    2.74400157e+00
 168	      17.542760	     0.00000000	     0.93024380	     0.36201072	    -0.00000535	    -0.16775020	   1.36279689e+11	   9.99980140e+16	   0.00000000e+00	  -1.00000000e+17	  -2.12232596e+12	  -1.01114022e+00	  -2.17388914e+01	  -6.94130174e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   5.75706012e+20	    4.91510431e+14	   9.66571278e+00	    1.57314072e+00	    2.74400106e+00
 169	      17.587538	     0.00000000	     0.93023604	     0.35265567	    -0.00000535	    -0.16775796	   9.91138505e+10	   9.99715948e+16	   0.00000000e+00	  -1.00000000e+17	  -2.85042832e+13	  -1.14368774e+01	  -2.21657213e+01	  -6.51447179e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.04952019e+20	    3.57277266e+14	   9.24224687e+00	    1.57314103e+00	    2.74400075e+00
 170	      17.623159	     0.00000000	     0.93016780	     0.34203922	    -0.00000536	    -0.16782620	   6.91941106e+10	   9.97394837e+16	   0.00000000e+00	  -1.00000000e+17	  -2.60585493e+14	  -8.97235919e+01	  -2.25215730e+01	  -6.15862012e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.30701781e+20	    2.48268290e+14	   8.88968233e+00	    1.57314120e+00	    2.74400058e+00
 171	      17.651299	     0.00000000	     0.92975845	     0.32955843	    -0.00000536	    -0.16823555	   4.58635257e+10	   9.83582055e+16	   0.00000000e+00	  -1.00000000e+17	  -1.64184031e+15	  -4.96708979e+02	  -2.28139723e+01	  -5.86622078e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.52865808e+20	    1.60034754e+14	   8.60036376e+00	    1.57314129e+00	    2.74400049e+00
 172	      17.673390	     0.00000000	     0.92805203	     0.31427116	    -0.00000536	    -0.16994197	   2.88757433e+10	   9.28033141e+16	   0.00000000e+00	  -1.00000000e+17	  -7.19671481e+15	  -1.98108840e+03	  -2.30511153e+01	  -5.62907784e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.71552455e+20	    8.97068004e+13	   8.36600819e+00	    1.57314134e+00	    2.74400044e+00
 173	      17.690637	     0.00000000	     0.92300785	     0.29504922	    -0.00000537	    -0.17498615	   1.78142463e+10	   7.81506927e+16	   0.00000000e+00	  -1.00000000e+17	  -2.18493251e+16	  -5.78949332e+03	  -2.32228090e+01	  -5.45738406e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.87019643e+20	    3.92585572e+13	   8.17832501e+00	    1.57314135e+00	    2.74400042e+00
 174	      17.697338	     0.00000000	     0.91838280	     0.28430909	    -0.00000537	    -0.17961120	   1.44641284e+10	   6.67580120e+16	   0.00000000e+00	  -1.00000000e+17	  -3.32420024e+16	  -8.59582880e+03	  -2.33259085e+01	  -5.35428457e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.93253267e+20	    2.32674494e+13	   8.10424384e+00	    1.57314136e+00	    2.74400042e+00
 175	      17.704038	     0.00000000	     0.91148850	     0.27099248	    -0.00000537	    -0.18650550	   1.16217536e+10	   5.27836444e+16	   0.00000000e+00	  -1.00000000e+17	  -4.72163672e+16	  -1.26943537e+04	  -2.33964221e+01	  -5.28377098e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   6.99619394e+20	    1.16947042e+13	   8.02948643e+00	    1.57314136e+00	    2.74400042e+00
 176	      17.709224	     0.00000000	     0.90393986	     0.25841256	    -0.00000537	    -0.19405414	   9.79110758e+09	   4.08144805e+16	   0.00000000e+00	  -1.00000000e+17	  -5.91855293e+16	  -1.68892906e+04	  -2.34589984e+01	  -5.22119474e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.04640559e+20	    5.89596490e+12	   7.97115401e+00	    1.57314136e+00	    2.74400042e+00
 177	      17.714410	     0.00000000	     0.89397102	     0.24347543	    -0.00000537	    -0.20402298	   8.26654262e+09	   2.90617196e+16	   0.00000000e+00	  -1.00000000e+17	  -7.09382887e+16	  -2.20194737e+04	  -2.35257580e+01	  -5.15443506e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.09746332e+20	    2.52771112e+12	   7.91240091e+00	    1.57314136e+00	    2.74400042e+00
 178	      17.722413	     0.00000000	     0.87289575	     0.21543046	    -0.00000538	    -0.22509825	   6.51935127e+09	   1.41743814e+16	   0.00000000e+00	  -1.00000000e+17	  -8.58256251e+16	  -3.15568176e+04	  -2.36039644e+01	  -5.07622868e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.17796960e+20	    4.76846496e+11	   7.82089332e+00	    1.57314136e+00	    2.74400042e+00
 179	      17.728574	     0.00000000	     0.85097723	     0.18888381	    -0.00000538	    -0.24701677	   5.56838641e+09	   6.71754986e+15	   0.00000000e+00	  -1.00000000e+17	  -9.32824557e+16	  -3.99457592e+04	  -2.36762871e+01	  -5.00390602e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.24141959e+20	    9.25630930e+10	   7.74973506e+00	    1.57314136e+00	    2.74400042e+00
 180	      17.733310	     0.00000000	     0.83046455	     0.16553245	    -0.00000539	    -0.26752945	   5.05510221e+09	   3.33977765e+15	   0.00000000e+00	  -1.00000000e+17	  -9.66602274e+16	  -4.67857238e+04	  -2.37323550e+01	  -4.94783814e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.29110488e+20	    2.12349361e+10	   7.69459606e+00	    1.57314136e+00	    2.74400042e+00
 181	      17.736951	     0.00000000	     0.81245836	     0.14613914	    -0.00000541	    -0.28553564	   4.82177383e+09	   1.80846042e+15	   0.00000000e+00	  -1.00000000e+17	  -9.81915444e+16	  -5.21784701e+04	  -2.37757228e+01	  -4.90447034e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.32983861e+20	    6.15607663e+09	   7.65196094e+00	    1.57314136e+00	    2.74400042e+00
 182	      17.739751	     0.00000000	     0.79726569	     0.13076265	    -0.00000543	    -0.30072831	   4.79167321e+09	   1.07777358e+15	   0.00000000e+00	  -1.00000000e+17	  -9.89222312e+16	  -5.63736554e+04	  -2.38092362e+01	  -4.87095689e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.35995594e+20	    2.28550925e+09	   7.61901997e+00	    1.57314136e+00	    2.74400042e+00
 183	      17.741907	     0.00000000	     0.78476037	     0.11900466	    -0.00000546	    -0.31323363	   4.91523532e+09	   7.03892926e+14	   0.00000000e+00	  -1.00000000e+17	  -9.92961120e+16	  -5.96229745e+04	  -2.38351443e+01	  -4.84504884e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.38335235e+20	    1.06458278e+09	   7.59355578e+00	    1.57314136e+00	    2.74400042e+00
 184	      17.743572	     0.00000000	     0.77462311	     0.11023447	    -0.00000549	    -0.32337089	   5.14956612e+09	   4.98335898e+14	   0.00000000e+00	  -1.00000000e+17	  -9.95016693e+16	  -6.21395149e+04	  -2.38552058e+01	  -4.82498731e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.40153996e+20	    5.99271270e+08	   7.57383623e+00	    1.57314136e+00	    2.74400042e+00
 185	      17.744862	     0.00000000	     0.76647769	     0.10377749	    -0.00000552	    -0.33151631	   5.45446098e+09	   3.77579093e+14	   0.00000000e+00	  -1.00000000e+17	  -9.96224264e+16	  -6.40931583e+04	  -2.38707851e+01	  -4.80940804e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.41570911e+20	    3.91165009e+08	   7.55851916e+00	    1.57314136e+00	    2.74400042e+00
 186	      17.745867	     0.00000000	     0.75995996	     0.09903581	    -0.00000555	    -0.33803404	   5.79467691e+09	   3.02395912e+14	   0.00000000e+00	  -1.00000000e+17	  -9.96976099e+16	  -6.56160001e+04	  -2.38829334e+01	  -4.79725968e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.42678733e+20	    2.85253063e+08	   7.54657111e+00	    1.57314136e+00	    2.74400042e+00
 187	      17.746655	     0.00000000	     0.75474783	     0.09553527	    -0.00000558	    -0.34324617	   6.14260788e+09	   2.53198330e+14	   0.00000000e+00	  -1.00000000e+17	  -9.97468078e+16	  -6.68095539e+04	  -2.38924572e+01	  -4.78773589e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.43549200e+20	    2.25559781e+08	   7.53719998e+00	    1.57314136e+00	    2.74400042e+00
 188	      17.747276	     0.00000000	     0.75057042	     0.09292373	    -0.00000561	    -0.34742358	   6.47918645e+09	   2.19611310e+14	   0.00000000e+00	  -1.00000000e+17	  -9.97803952e+16	  -6.77513726e+04	  -2.38999727e+01	  -4.78022038e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.44237490e+20	    1.89105997e+08	   7.52980065e+00	    1.57314136e+00	    2.74400042e+00
 189	      17.747769	     0.00000000	     0.74720673	     0.09094867	    -0.00000564	    -0.35078727	   6.79306759e+09	   1.95833920e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98041729e+16	  -6.85005361e+04	  -2.39059501e+01	  -4.77424302e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.44785904e+20	    1.65383302e+08	   7.52391170e+00	    1.57314136e+00	    2.74400042e+00
 190	      17.748166	     0.00000000	     0.74447993	     0.08943177	    -0.00000566	    -0.35351407	   7.07891814e+09	   1.78461324e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98215458e+16	  -6.91020141e+04	  -2.39107476e+01	  -4.76944546e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.45226808e+20	    1.49133550e+08	   7.51918150e+00	    1.57314136e+00	    2.74400042e+00
 191	      17.748487	     0.00000000	     0.74225019	     0.08824738	    -0.00000568	    -0.35574381	   7.33555999e+09	   1.65407241e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98346001e+16	  -6.95900605e+04	  -2.39146387e+01	  -4.76555442e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.45584961e+20	    1.37520901e+08	   7.51534188e+00	    1.57314136e+00	    2.74400042e+00
 192	      17.748751	     0.00000000	     0.74040770	     0.08730656	    -0.00000570	    -0.35758630	   7.56438766e+09	   1.55343965e+14	   0.00000000e+00	  -1.00000000e+17	  -9.98446636e+16	  -6.99908241e+04	  -2.39178320e+01	  -4.76236106e+00	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   7.45879331e+20	    1.28917127e+08	   7.51218793e+00	    1.57314136e+00	    2.74400042e+00
