delta fi L
196 64 -7.330E-3
196 66 -7.842E-3
196 68 -8.322E-3
196 70 -8.768E-3
196 72 -9.178E-3
196 74 -9.550E-3
196 76 -9.882E-3
196 78 -1.017E-2
196 80 -1.042E-2
196 82 -1.063E-2
196 84 -1.079E-2
196 86 -1.090E-2
196 88 -1.097E-2
196 90 -1.100E-2
196 92 -1.097E-2
196 94 -1.090E-2
196 96 -1.079E-2
196 98 -1.063E-2
196 100 -1.042E-2
196 102 -1.017E-2
196 104 -9.882E-3
196 106 -9.550E-3
196 108 -9.178E-3
196 110 -8.768E-3
196 112 -8.322E-3
196 114 -7.842E-3
196 116 -7.330E-3
196 118 -6.790E-3
196 120 -6.222E-3
196 122 -5.631E-3
196 124 -5.018E-3
196 126 -4.388E-3
196 128 -3.741E-3
196 130 -3.083E-3
196 132 -2.416E-3
196 134 -1.743E-3
196 136 -1.067E-3
196 138 -3.926E-4
196 140 2.781E-4
196 142 9.414E-4
196 144 1.594E-3
196 146 2.233E-3
196 148 2.855E-3
196 150 3.456E-3
196 152 4.035E-3
196 154 4.587E-3
196 156 5.111E-3
196 158 5.603E-3
196 160 6.062E-3
196 162 6.484E-3
196 164 6.867E-3
196 166 7.211E-3
196 168 7.512E-3
196 170 7.769E-3
196 172 7.982E-3
196 174 8.148E-3
196 176 8.267E-3
196 178 8.339E-3
196 180 8.363E-3
198 0 8.325E-3
198 2 8.302E-3
198 4 8.230E-3
198 6 8.111E-3
198 8 7.945E-3
198 10 7.734E-3
198 12 7.478E-3
198 14 7.178E-3
198 16 6.836E-3
198 18 6.454E-3
198 20 6.034E-3
198 22 5.578E-3
198 24 5.088E-3
198 26 4.567E-3
198 28 4.017E-3
198 30 3.441E-3
198 32 2.842E-3
198 34 2.223E-3
198 36 1.587E-3
198 38 9.377E-4
198 40 2.774E-4
198 42 -3.903E-4
198 44 -1.062E-3
198 46 -1.734E-3
198 48 -2.404E-3
198 50 -3.069E-3
198 52 -3.724E-3
198 54 -4.367E-3
198 56 -4.995E-3
198 58 -5.605E-3
198 60 -6.194E-3
198 62 -6.758E-3
198 64 -7.297E-3
198 66 -7.806E-3
198 68 -8.284E-3
198 70 -8.727E-3
198 72 -9.136E-3
198 74 -9.506E-3
198 76 -9.837E-3
198 78 -1.013E-2
198 80 -1.037E-2
198 82 -1.058E-2
198 84 -1.074E-2
198 86 -1.085E-2
198 88 -1.092E-2
198 90 -1.095E-2
198 92 -1.092E-2
198 94 -1.085E-2
198 96 -1.074E-2
198 98 -1.058E-2
198 100 -1.037E-2
198 102 -1.013E-2
198 104 -9.837E-3
198 106 -9.506E-3
198 108 -9.136E-3
198 110 -8.727E-3
198 112 -8.284E-3
198 114 -7.806E-3
198 116 -7.297E-3
198 118 -6.758E-3
198 120 -6.194E-3
198 122 -5.605E-3
198 124 -4.995E-3
198 126 -4.367E-3
198 128 -3.724E-3
198 130 -3.069E-3
198 132 -2.404E-3
198 134 -1.734E-3
198 136 -1.062E-3
198 138 -3.903E-4
198 140 2.774E-4
198 142 9.377E-4
198 144 1.587E-3
198 146 2.223E-3
198 148 2.842E-3
198 150 3.441E-3
198 152 4.017E-3
198 154 4.567E-3
198 156 5.088E-3
198 158 5.578E-3
198 160 6.034E-3
198 162 6.454E-3
198 164 6.836E-3
198 166 7.178E-3
198 168 7.478E-3
198 170 7.734E-3
198 172 7.945E-3
198 174 8.111E-3
198 176 8.230E-3
198 178 8.302E-3
198 180 8.325E-3
200 0 8.283E-3
200 2 8.259E-3
200 4 8.188E-3
200 6 8.070E-3
200 8 7.905E-3
200 10 7.695E-3
200 12 7.440E-3
200 14 7.142E-3
200 16 6.802E-3
200 18 6.422E-3
200 20 6.004E-3
200 22 5.550E-3
200 24 5.063E-3
200 26 4.544E-3
200 28 3.997E-3
200 30 3.424E-3
200 32 2.828E-3
200 34 2.212E-3
200 36 1.580E-3
200 38 9.334E-4
200 40 2.765E-4
200 42 -3.877E-4
200 44 -1.056E-3
200 46 -1.725E-3
200 48 -2.392E-3
200 50 -3.052E-3
200 52 -3.704E-3
200 54 -4.344E-3
200 56 -4.969E-3
200 58 -5.576E-3
200 60 -6.162E-3
200 62 -6.724E-3
200 64 -7.259E-3
200 66 -7.766E-3
200 68 -8.241E-3
200 70 -8.683E-3
200 72 -9.089E-3
200 74 -9.457E-3
200 76 -9.787E-3
200 78 -1.008E-2
200 80 -1.032E-2
200 82 -1.053E-2
200 84 -1.068E-2
200 86 -1.080E-2
200 88 -1.087E-2
200 90 -1.089E-2
200 92 -1.087E-2
200 94 -1.080E-2
200 96 -1.068E-2
200 98 -1.053E-2
200 100 -1.032E-2
200 102 -1.008E-2
200 104 -9.787E-3
200 106 -9.457E-3
200 108 -9.089E-3
200 110 -8.683E-3
200 112 -8.241E-3
200 114 -7.766E-3
200 116 -7.259E-3
200 118 -6.724E-3
200 120 -6.162E-3
200 122 -5.576E-3
200 124 -4.969E-3
200 126 -4.344E-3
200 128 -3.704E-3
200 130 -3.052E-3
200 132 -2.392E-3
200 134 -1.725E-3
200 136 -1.056E-3
200 138 -3.877E-4
200 140 2.765E-4
200 142 9.334E-4
200 144 1.580E-3
200 146 2.212E-3
200 148 2.828E-3
200 150 3.424E-3
200 152 3.997E-3
200 154 4.544E-3
200 156 5.063E-3
200 158 5.550E-3
200 160 6.004E-3
200 162 6.422E-3
200 164 6.802E-3
200 166 7.142E-3
200 168 7.440E-3
200 170 7.695E-3
200 172 7.905E-3
200 174 8.070E-3
200 176 8.188E-3
200 178 8.259E-3
200 180 8.283E-3
202 0 8.237E-3
202 2 8.213E-3
202 4 8.142E-3
202 6 8.025E-3
202 8 7.861E-3
202 10 7.651E-3
202 12 7.398E-3
202 14 7.102E-3
202 16 6.764E-3
202 18 6.386E-3
202 20 5.970E-3
202 22 5.519E-3
202 24 5.035E-3
202 26 4.519E-3
202 28 3.975E-3
202 30 3.405E-3
202 32 2.813E-3
202 34 2.201E-3
202 36 1.571E-3
202 38 9.288E-4
202 40 2.756E-4
202 42 -3.849E-4
202 44 -1.049E-3
202 46 -1.715E-3
202 48 -2.377E-3
202 50 -3.035E-3
202 52 -3.683E-3
202 54 -4.319E-3
202 56 -4.941E-3
202 58 -5.544E-3
202 60 -6.126E-3
202 62 -6.685E-3
202 64 -7.218E-3
202 66 -7.722E-3
202 68 -8.194E-3
202 70 -8.633E-3
202 72 -9.037E-3
202 74 -9.404E-3
202 76 -9.731E-3
202 78 -1.002E-2
202 80 -1.026E-2
202 82 -1.047E-2
202 84 -1.062E-2
202 86 -1.074E-2
202 88 -1.081E-2
202 90 -1.083E-2
202 92 -1.081E-2
202 94 -1.074E-2
202 96 -1.062E-2
202 98 -1.047E-2
202 100 -1.026E-2
202 102 -1.002E-2
202 104 -9.731E-3
202 106 -9.404E-3
202 108 -9.037E-3
202 110 -8.633E-3
202 112 -8.194E-3
202 114 -7.722E-3
202 116 -7.218E-3
202 118 -6.685E-3
202 120 -6.126E-3
202 122 -5.544E-3
202 124 -4.941E-3
202 126 -4.319E-3
202 128 -3.683E-3
202 130 -3.035E-3
202 132 -2.377E-3
202 134 -1.715E-3
202 136 -1.049E-3
202 138 -3.849E-4
202 140 2.756E-4
202 142 9.288E-4
202 144 1.571E-3
202 146 2.201E-3
202 148 2.813E-3
202 150 3.405E-3
202 152 3.975E-3
202 154 4.519E-3
202 156 5.035E-3
202 158 5.519E-3
202 160 5.970E-3
202 162 6.386E-3
202 164 6.764E-3
202 166 7.102E-3
202 168 7.398E-3
202 170 7.651E-3
202 172 7.861E-3
202 174 8.025E-3
202 176 8.142E-3
202 178 8.213E-3
202 180 8.237E-3
204 0 8.186E-3
204 2 8.162E-3
204 4 8.092E-3
204 6 7.975E-3
204 8 7.812E-3
204 10 7.604E-3
204 12 7.353E-3
204 14 7.058E-3
204 16 6.722E-3
204 18 6.347E-3
204 20 5.934E-3
204 22 5.485E-3
204 24 5.004E-3
204 26 4.491E-3
204 28 3.951E-3
204 30 3.385E-3
204 32 2.796E-3
204 34 2.188E-3
204 36 1.562E-3
204 38 9.237E-4
204 40 2.745E-4
204 42 -3.818E-4
204 44 -1.042E-3
204 46 -1.703E-3
204 48 -2.362E-3
204 50 -3.015E-3
204 52 -3.660E-3
204 54 -4.292E-3
204 56 -4.909E-3
204 58 -5.509E-3
204 60 -6.088E-3
204 62 -6.643E-3
204 64 -7.173E-3
204 66 -7.673E-3
204 68 -8.143E-3
204 70 -8.580E-3
204 72 -8.981E-3
204 74 -9.345E-3
204 76 -9.671E-3
204 78 -9.956E-3
204 80 -1.020E-2
204 82 -1.040E-2
204 84 -1.056E-2
204 86 -1.067E-2
204 88 -1.074E-2
204 90 -1.076E-2
204 92 -1.074E-2
204 94 -1.067E-2
204 96 -1.056E-2
204 98 -1.040E-2
204 100 -1.020E-2
204 102 -9.956E-3
204 104 -9.671E-3
204 106 -9.345E-3
204 108 -8.981E-3
204 110 -8.580E-3
204 112 -8.143E-3
204 114 -7.673E-3
204 116 -7.173E-3
204 118 -6.643E-3
204 120 -6.088E-3
204 122 -5.509E-3
204 124 -4.909E-3
204 126 -4.292E-3
204 128 -3.660E-3
204 130 -3.015E-3
204 132 -2.362E-3
204 134 -1.703E-3
204 136 -1.042E-3
204 138 -3.818E-4
204 140 2.745E-4
204 142 9.237E-4
204 144 1.562E-3
204 146 2.188E-3
204 148 2.796E-3
204 150 3.385E-3
204 152 3.951E-3
204 154 4.491E-3
204 156 5.004E-3
204 158 5.485E-3
204 160 5.934E-3
204 162 6.347E-3
204 164 6.722E-3
204 166 7.058E-3
204 168 7.353E-3
204 170 7.604E-3
204 172 7.812E-3
204 174 7.975E-3
204 176 8.092E-3
204 178 8.162E-3
204 180 8.186E-3
206 0 8.131E-3
206 2 8.108E-3
206 4 8.038E-3
206 6 7.922E-3
206 8 7.760E-3
206 10 7.553E-3
206 12 7.303E-3
206 14 7.011E-3
206 16 6.677E-3
206 18 6.304E-3
206 20 5.894E-3
206 22 5.449E-3
206 24 4.971E-3
206 26 4.462E-3
206 28 3.925E-3
206 30 3.363E-3
206 32 2.778E-3
206 34 2.173E-3
206 36 1.553E-3
206 38 9.182E-4
206 40 2.734E-4
206 42 -3.785E-4
206 44 -1.034E-3
206 46 -1.691E-3
206 48 -2.345E-3
206 50 -2.994E-3
206 52 -3.634E-3
206 54 -4.262E-3
206 56 -4.876E-3
206 58 -5.471E-3
206 60 -6.046E-3
206 62 -6.598E-3
206 64 -7.124E-3
206 66 -7.621E-3
206 68 -8.088E-3
206 70 -8.522E-3
206 72 -8.920E-3
206 74 -9.282E-3
206 76 -9.606E-3
206 78 -9.889E-3
206 80 -1.013E-2
206 82 -1.033E-2
206 84 -1.049E-2
206 86 -1.060E-2
206 88 -1.067E-2
206 90 -1.069E-2
206 92 -1.067E-2
206 94 -1.060E-2
206 96 -1.049E-2
206 98 -1.033E-2
206 100 -1.013E-2
206 102 -9.889E-3
206 104 -9.606E-3
206 106 -9.282E-3
206 108 -8.920E-3
206 110 -8.522E-3
206 112 -8.088E-3
206 114 -7.621E-3
206 116 -7.124E-3
206 118 -6.598E-3
206 120 -6.046E-3
206 122 -5.471E-3
206 124 -4.876E-3
206 126 -4.262E-3
206 128 -3.634E-3
206 130 -2.994E-3
206 132 -2.345E-3
206 134 -1.691E-3
206 136 -1.034E-3
206 138 -3.785E-4
206 140 2.734E-4
206 142 9.182E-4
206 144 1.553E-3
206 146 2.173E-3
206 148 2.778E-3
206 150 3.363E-3
206 152 3.925E-3
206 154 4.462E-3
206 156 4.971E-3
206 158 5.449E-3
206 160 5.894E-3
206 162 6.304E-3
206 164 6.677E-3
206 166 7.011E-3
206 168 7.303E-3
206 170 7.553E-3
206 172 7.760E-3
206 174 7.922E-3
206 176 8.038E-3
206 178 8.108E-3
206 180 8.131E-3
208 0 8.072E-3
208 2 8.049E-3
208 4 7.979E-3
208 6 7.864E-3
208 8 7.704E-3
208 10 7.499E-3
208 12 7.250E-3
208 14 6.960E-3
208 16 6.629E-3
208 18 6.259E-3
208 20 5.852E-3
208 22 5.410E-3
208 24 4.935E-3
208 26 4.430E-3
208 28 3.897E-3
208 30 3.339E-3
208 32 2.758E-3
208 34 2.158E-3
208 36 1.542E-3
208 38 9.122E-4
208 40 2.722E-4
208 42 -3.750E-4
208 44 -1.026E-3
208 46 -1.678E-3
208 48 -2.328E-3
208 50 -2.972E-3
208 52 -3.607E-3
208 54 -4.231E-3
208 56 -4.840E-3
208 58 -5.431E-3
208 60 -6.002E-3
208 62 -6.550E-3
208 64 -7.072E-3
208 66 -7.565E-3
208 68 -8.029E-3
208 70 -8.459E-3
208 72 -8.855E-3
208 74 -9.214E-3
208 76 -9.535E-3
208 78 -9.817E-3
208 80 -1.006E-2
208 82 -1.026E-2
208 84 -1.041E-2
208 86 -1.052E-2
208 88 -1.059E-2
208 90 -1.061E-2
208 92 -1.059E-2
208 94 -1.052E-2
208 96 -1.041E-2
208 98 -1.026E-2
208 100 -1.006E-2
208 102 -9.817E-3
208 104 -9.535E-3
208 106 -9.214E-3
208 108 -8.855E-3
208 110 -8.459E-3
208 112 -8.029E-3
208 114 -7.565E-3
208 116 -7.072E-3
208 118 -6.550E-3
208 120 -6.002E-3
208 122 -5.431E-3
208 124 -4.840E-3
208 126 -4.231E-3
208 128 -3.607E-3
208 130 -2.972E-3
208 132 -2.328E-3
208 134 -1.678E-3
208 136 -1.026E-3
208 138 -3.750E-4
208 140 2.722E-4
208 142 9.122E-4
208 144 1.542E-3
208 146 2.158E-3
208 148 2.758E-3
208 150 3.339E-3
208 152 3.897E-3
208 154 4.430E-3
208 156 4.935E-3
208 158 5.410E-3
208 160 5.852E-3
208 162 6.259E-3
208 164 6.629E-3
208 166 6.960E-3
208 168 7.250E-3
208 170 7.499E-3
208 172 7.704E-3
208 174 7.864E-3
208 176 7.979E-3
208 178 8.049E-3
208 180 8.072E-3
210 0 8.009E-3
210 2 7.986E-3
210 4 7.917E-3
210 6 7.803E-3
210 8 7.644E-3
210 10 7.440E-3
210 12 7.194E-3
210 14 6.906E-3
210 16 6.577E-3
210 18 6.210E-3
210 20 5.807E-3
210 22 5.368E-3
210 24 4.897E-3
210 26 4.396E-3
210 28 3.867E-3
210 30 3.313E-3
210 32 2.737E-3
210 34 2.142E-3
210 36 1.531E-3
210 38 9.059E-4
210 40 2.709E-4
210 42 -3.712E-4
210 44 -1.017E-3
210 46 -1.664E-3
210 48 -2.309E-3
210 50 -2.948E-3
210 52 -3.578E-3
210 54 -4.197E-3
210 56 -4.801E-3
210 58 -5.388E-3
210 60 -5.954E-3
210 62 -6.498E-3
210 64 -7.016E-3
210 66 -7.506E-3
210 68 -7.965E-3
210 70 -8.392E-3
210 72 -8.785E-3
210 74 -9.142E-3
210 76 -9.460E-3
210 78 -9.740E-3
210 80 -9.978E-3
210 82 -1.017E-2
210 84 -1.033E-2
210 86 -1.044E-2
210 88 -1.051E-2
210 90 -1.053E-2
210 92 -1.051E-2
210 94 -1.044E-2
210 96 -1.033E-2
210 98 -1.017E-2
210 100 -9.978E-3
210 102 -9.740E-3
210 104 -9.460E-3
210 106 -9.142E-3
210 108 -8.785E-3
210 110 -8.392E-3
210 112 -7.965E-3
210 114 -7.506E-3
210 116 -7.016E-3
210 118 -6.498E-3
210 120 -5.954E-3
210 122 -5.388E-3
210 124 -4.801E-3
210 126 -4.197E-3
210 128 -3.578E-3
210 130 -2.948E-3
210 132 -2.309E-3
210 134 -1.664E-3
210 136 -1.017E-3
210 138 -3.712E-4
210 140 2.709E-4
210 142 9.059E-4
210 144 1.531E-3
210 146 2.142E-3
210 148 2.737E-3
210 150 3.313E-3
210 152 3.867E-3
210 154 4.396E-3
210 156 4.897E-3
210 158 5.368E-3
210 160 5.807E-3
210 162 6.210E-3
210 164 6.577E-3
210 166 6.906E-3
210 168 7.194E-3
210 170 7.440E-3
210 172 7.644E-3
210 174 7.803E-3
210 176 7.917E-3
210 178 7.986E-3
210 180 8.009E-3
212 0 7.942E-3
212 2 7.919E-3
212 4 7.851E-3
212 6 7.738E-3
212 8 7.580E-3
212 10 7.378E-3
212 12 7.134E-3
212 14 6.848E-3
212 16 6.523E-3
212 18 6.159E-3
212 20 5.758E-3
212 22 5.323E-3
212 24 4.856E-3
212 26 4.359E-3
212 28 3.835E-3
212 30 3.286E-3
212 32 2.715E-3
212 34 2.125E-3
212 36 1.519E-3
212 38 8.991E-4
212 40 2.694E-4
212 42 -3.673E-4
212 44 -1.008E-3
212 46 -1.649E-3
212 48 -2.288E-3
212 50 -2.922E-3
212 52 -3.547E-3
212 54 -4.161E-3
212 56 -4.760E-3
212 58 -5.342E-3
212 60 -5.903E-3
212 62 -6.442E-3
212 64 -6.956E-3
212 66 -7.442E-3
212 68 -7.898E-3
212 70 -8.322E-3
212 72 -8.711E-3
212 74 -9.065E-3
212 76 -9.381E-3
212 78 -9.658E-3
212 80 -9.894E-3
212 82 -1.009E-2
212 84 -1.024E-2
212 86 -1.035E-2
212 88 -1.042E-2
212 90 -1.044E-2
212 92 -1.042E-2
212 94 -1.035E-2
212 96 -1.024E-2
212 98 -1.009E-2
212 100 -9.894E-3
212 102 -9.658E-3
212 104 -9.381E-3
212 106 -9.065E-3
212 108 -8.711E-3
212 110 -8.322E-3
212 112 -7.898E-3
212 114 -7.442E-3
212 116 -6.956E-3
212 118 -6.442E-3
212 120 -5.903E-3
212 122 -5.342E-3
212 124 -4.760E-3
212 126 -4.161E-3
212 128 -3.547E-3
212 130 -2.922E-3
212 132 -2.288E-3
212 134 -1.649E-3
212 136 -1.008E-3
212 138 -3.673E-4
212 140 2.694E-4
212 142 8.991E-4
212 144 1.519E-3
212 146 2.125E-3
212 148 2.715E-3
212 150 3.286E-3
212 152 3.835E-3
212 154 4.359E-3
212 156 4.856E-3
212 158 5.323E-3
212 160 5.758E-3
212 162 6.159E-3
212 164 6.523E-3
212 166 6.848E-3
212 168 7.134E-3
212 170 7.378E-3
212 172 7.580E-3
212 174 7.738E-3
212 176 7.851E-3
212 178 7.919E-3
212 180 7.942E-3
214 0 7.871E-3
214 2 7.848E-3
214 4 7.781E-3
214 6 7.669E-3
214 8 7.512E-3
214 10 7.312E-3
214 12 7.070E-3
214 14 6.787E-3
214 16 6.465E-3
214 18 6.104E-3
214 20 5.707E-3
214 22 5.276E-3
214 24 4.814E-3
214 26 4.321E-3
214 28 3.802E-3
214 30 3.258E-3
214 32 2.692E-3
214 34 2.107E-3
214 36 1.506E-3
214 38 8.919E-4
214 40 2.679E-4
214 42 -3.631E-4
214 44 -9.980E-4
214 46 -1.634E-3
214 48 -2.267E-3
214 50 -2.895E-3
214 52 -3.515E-3
214 54 -4.123E-3
214 56 -4.717E-3
214 58 -5.293E-3
214 60 -5.850E-3
214 62 -6.384E-3
214 64 -6.893E-3
214 66 -7.375E-3
214 68 -7.827E-3
214 70 -8.247E-3
214 72 -8.633E-3
214 74 -8.983E-3
214 76 -9.296E-3
214 78 -9.571E-3
214 80 -9.805E-3
214 82 -9.998E-3
214 84 -1.015E-2
214 86 -1.026E-2
214 88 -1.032E-2
214 90 -1.035E-2
214 92 -1.032E-2
214 94 -1.026E-2
214 96 -1.015E-2
214 98 -9.998E-3
214 100 -9.805E-3
214 102 -9.571E-3
214 104 -9.296E-3
214 106 -8.983E-3
214 108 -8.633E-3
214 110 -8.247E-3
214 112 -7.827E-3
214 114 -7.375E-3
214 116 -6.893E-3
214 118 -6.384E-3
214 120 -5.850E-3
214 122 -5.293E-3
214 124 -4.717E-3
214 126 -4.123E-3
214 128 -3.515E-3
214 130 -2.895E-3
214 132 -2.267E-3
214 134 -1.634E-3
214 136 -9.980E-4
214 138 -3.631E-4
214 140 2.679E-4
214 142 8.919E-4
214 144 1.506E-3
214 146 2.107E-3
214 148 2.692E-3
214 150 3.258E-3
214 152 3.802E-3
214 154 4.321E-3
214 156 4.814E-3
214 158 5.276E-3
214 160 5.707E-3
214 162 6.104E-3
214 164 6.465E-3
214 166 6.787E-3
214 168 7.070E-3
214 170 7.312E-3
214 172 7.512E-3
214 174 7.669E-3
214 176 7.781E-3
214 178 7.848E-3
214 180 7.871E-3
216 0 7.796E-3
216 2 7.774E-3
216 4 7.707E-3
216 6 7.596E-3
216 8 7.441E-3
216 10 7.243E-3
216 12 7.004E-3
216 14 6.723E-3
216 16 6.404E-3
216 18 6.046E-3
216 20 5.654E-3
216 22 5.227E-3
216 24 4.768E-3
216 26 4.281E-3
216 28 3.766E-3
216 30 3.227E-3
216 32 2.667E-3
216 34 2.088E-3
216 36 1.492E-3
216 38 8.844E-4
216 40 2.663E-4
216 42 -3.587E-4
216 44 -9.875E-4
216 46 -1.617E-3
216 48 -2.245E-3
216 50 -2.867E-3
216 52 -3.480E-3
216 54 -4.083E-3
216 56 -4.671E-3
216 58 -5.242E-3
216 60 -5.794E-3
216 62 -6.323E-3
216 64 -6.827E-3
216 66 -7.304E-3
216 68 -7.752E-3
216 70 -8.168E-3
216 72 -8.550E-3
216 74 -8.897E-3
216 76 -9.208E-3
216 78 -9.480E-3
216 80 -9.712E-3
216 82 -9.903E-3
216 84 -1.005E-2
216 86 -1.016E-2
216 88 -1.023E-2
216 90 -1.025E-2
216 92 -1.023E-2
216 94 -1.016E-2
216 96 -1.005E-2
216 98 -9.903E-3
216 100 -9.712E-3
216 102 -9.480E-3
216 104 -9.208E-3
216 106 -8.897E-3
216 108 -8.550E-3
216 110 -8.168E-3
216 112 -7.752E-3
216 114 -7.304E-3
216 116 -6.827E-3
216 118 -6.323E-3
216 120 -5.794E-3
216 122 -5.242E-3
216 124 -4.671E-3
216 126 -4.083E-3
216 128 -3.480E-3
216 130 -2.867E-3
216 132 -2.245E-3
216 134 -1.617E-3
216 136 -9.875E-4
216 138 -3.587E-4
216 140 2.663E-4
216 142 8.844E-4
216 144 1.492E-3
216 146 2.088E-3
216 148 2.667E-3
216 150 3.227E-3
216 152 3.766E-3
216 154 4.281E-3
216 156 4.768E-3
216 158 5.227E-3
216 160 5.654E-3
216 162 6.046E-3
216 164 6.404E-3
216 166 6.723E-3
216 168 7.004E-3
216 170 7.243E-3
216 172 7.441E-3
216 174 7.596E-3
216 176 7.707E-3
216 178 7.774E-3
216 180 7.796E-3
218 0 7.718E-3
218 2 7.696E-3
218 4 7.630E-3
218 6 7.520E-3
218 8 7.366E-3
218 10 7.171E-3
218 12 6.933E-3
218 14 6.656E-3
218 16 6.340E-3
218 18 5.986E-3
218 20 5.597E-3
218 22 5.175E-3
218 24 4.721E-3
218 26 4.238E-3
218 28 3.729E-3
218 30 3.196E-3
218 32 2.641E-3
218 34 2.067E-3
218 36 1.478E-3
218 38 8.764E-4
218 40 2.646E-4
218 42 -3.541E-4
218 44 -9.766E-4
218 46 -1.600E-3
218 48 -2.221E-3
218 50 -2.837E-3
218 52 -3.444E-3
218 54 -4.041E-3
218 56 -4.623E-3
218 58 -5.188E-3
218 60 -5.734E-3
218 62 -6.258E-3
218 64 -6.758E-3
218 66 -7.230E-3
218 68 -7.673E-3
218 70 -8.085E-3
218 72 -8.464E-3
218 74 -8.807E-3
218 76 -9.115E-3
218 78 -9.384E-3
218 80 -9.614E-3
218 82 -9.803E-3
218 84 -9.951E-3
218 86 -1.006E-2
218 88 -1.012E-2
218 90 -1.014E-2
218 92 -1.012E-2
218 94 -1.006E-2
218 96 -9.951E-3
218 98 -9.803E-3
218 100 -9.614E-3
218 102 -9.384E-3
218 104 -9.115E-3
218 106 -8.807E-3
218 108 -8.464E-3
218 110 -8.085E-3
218 112 -7.673E-3
218 114 -7.230E-3
218 116 -6.758E-3
218 118 -6.258E-3
218 120 -5.734E-3
218 122 -5.188E-3
218 124 -4.623E-3
218 126 -4.041E-3
218 128 -3.444E-3
218 130 -2.837E-3
218 132 -2.221E-3
218 134 -1.600E-3
218 136 -9.766E-4
218 138 -3.541E-4
218 140 2.646E-4
218 142 8.764E-4
218 144 1.478E-3
218 146 2.067E-3
218 148 2.641E-3
218 150 3.196E-3
218 152 3.729E-3
218 154 4.238E-3
218 156 4.721E-3
218 158 5.175E-3
218 160 5.597E-3
218 162 5.986E-3
218 164 6.340E-3
218 166 6.656E-3
218 168 6.933E-3
218 170 7.171E-3
218 172 7.366E-3
218 174 7.520E-3
218 176 7.630E-3
218 178 7.696E-3
218 180 7.718E-3
220 0 7.636E-3
220 2 7.614E-3
220 4 7.549E-3
220 6 7.440E-3
220 8 7.288E-3
220 10 7.095E-3
220 12 6.860E-3
220 14 6.585E-3
220 16 6.273E-3
220 18 5.923E-3
220 20 5.538E-3
220 22 5.120E-3
220 24 4.671E-3
220 26 4.194E-3
220 28 3.690E-3
220 30 3.162E-3
220 32 2.614E-3
220 34 2.046E-3
220 36 1.464E-3
220 38 8.681E-4
220 40 2.628E-4
220 42 -3.493E-4
220 44 -9.652E-4
220 46 -1.582E-3
220 48 -2.196E-3
220 50 -2.805E-3
220 52 -3.407E-3
220 54 -3.997E-3
220 56 -4.573E-3
220 58 -5.132E-3
220 60 -5.673E-3
220 62 -6.191E-3
220 64 -6.685E-3
220 66 -7.152E-3
220 68 -7.591E-3
220 70 -7.998E-3
220 72 -8.373E-3
220 74 -8.713E-3
220 76 -9.017E-3
220 78 -9.283E-3
220 80 -9.511E-3
220 82 -9.698E-3
220 84 -9.845E-3
220 86 -9.951E-3
220 88 -1.001E-2
220 90 -1.004E-2
220 92 -1.001E-2
220 94 -9.951E-3
220 96 -9.845E-3
220 98 -9.698E-3
220 100 -9.511E-3
220 102 -9.283E-3
220 104 -9.017E-3
220 106 -8.713E-3
220 108 -8.373E-3
220 110 -7.998E-3
220 112 -7.591E-3
220 114 -7.152E-3
220 116 -6.685E-3
220 118 -6.191E-3
220 120 -5.673E-3
220 122 -5.132E-3
220 124 -4.573E-3
220 126 -3.997E-3
220 128 -3.407E-3
220 130 -2.805E-3
220 132 -2.196E-3
220 134 -1.582E-3
220 136 -9.652E-4
220 138 -3.493E-4
220 140 2.628E-4
220 142 8.681E-4
220 144 1.464E-3
220 146 2.046E-3
220 148 2.614E-3
220 150 3.162E-3
220 152 3.690E-3
220 154 4.194E-3
220 156 4.671E-3
220 158 5.120E-3
220 160 5.538E-3
220 162 5.923E-3
220 164 6.273E-3
220 166 6.585E-3
220 168 6.860E-3
220 170 7.095E-3
220 172 7.288E-3
220 174 7.440E-3
220 176 7.549E-3
220 178 7.614E-3
220 180 7.636E-3
222 0 7.551E-3
222 2 7.529E-3
222 4 7.464E-3
222 6 7.357E-3
222 8 7.207E-3
222 10 7.015E-3
222 12 6.783E-3
222 14 6.512E-3
222 16 6.203E-3
222 18 5.857E-3
222 20 5.477E-3
222 22 5.063E-3
222 24 4.620E-3
222 26 4.148E-3
222 28 3.649E-3
222 30 3.128E-3
222 32 2.585E-3
222 34 2.024E-3
222 36 1.448E-3
222 38 8.593E-4
222 40 2.609E-4
222 42 -3.443E-4
222 44 -9.533E-4
222 46 -1.563E-3
222 48 -2.171E-3
222 50 -2.773E-3
222 52 -3.367E-3
222 54 -3.951E-3
222 56 -4.521E-3
222 58 -5.074E-3
222 60 -5.608E-3
222 62 -6.121E-3
222 64 -6.609E-3
222 66 -7.071E-3
222 68 -7.505E-3
222 70 -7.908E-3
222 72 -8.279E-3
222 74 -8.615E-3
222 76 -8.916E-3
222 78 -9.179E-3
222 80 -9.404E-3
222 82 -9.589E-3
222 84 -9.735E-3
222 86 -9.839E-3
222 88 -9.901E-3
222 90 -9.922E-3
222 92 -9.901E-3
222 94 -9.839E-3
222 96 -9.735E-3
222 98 -9.589E-3
222 100 -9.404E-3
222 102 -9.179E-3
222 104 -8.916E-3
222 106 -8.615E-3
222 108 -8.279E-3
222 110 -7.908E-3
222 112 -7.505E-3
222 114 -7.071E-3
222 116 -6.609E-3
222 118 -6.121E-3
